U+34AD	㒭	4-2B69	rurhu
U+34AE	㒮	14-5B73	mumso
U+34AF	㒯	3-5754	futmq
U+34B0	㒰	3-2176	om
U+34B1	㒱	14-4C61	oni
U+34B2	㒲	3-2279	oa
U+34B3	㒳	3-2455	bolo
U+34B4	㒴	5-2337	ouu
U+34B5	㒵	6-257B	hac
U+34B6	㒶	6-257D	cha
U+34B7	㒷	3-2456	bomc
U+34B8	㒸	3-2B38	tpho
U+34B9	㒹	7-4D3D	jcjuc
U+34BA	㒺	3-2A4C	btvo
U+34BB	㒻	4-304C	abuu
U+34BC	㒼	5-3126	tlbo
U+34BD	㒽	4-363D	afou
U+34BE	㒾	4-3C32	aysd
U+34BF	㒿	4-6A42	aybg
U+34C0	㓀	14-4C36	by
U+34C1	㓁	14-4C37	bc
U+34C2	㓂	3-2B3A	bmuv
U+34C3	㓃	3-3978	byrp
U+34C4	㓄	4-4922	ihhbu
U+34C5	㓅	3-2150	ymn
U+34C6	㓆	14-4D61	imop
U+34C7	㓇	3-2321	yhk
U+34C8	㓈	3-2458	ymr
U+34C9	㓉	5-252E	yhjr
U+34CA	㓊	3-2757	ybmr
U+34CB	㓋	3-2756	ytc
U+34CC	㓌	3-2758	yomg
U+34CD	㓍	14-513A	imyiu
U+34CE	㓎	4-2843	ysme
U+34CF	㓏	3-2B3C	ybcr
U+34D0	㓐	3-2F5D	ygcg
U+34D1	㓑	3-2F5C	ygtj
U+34D2	㓒	14-577E	ipop
U+34D3	㓓	4-304D	yjbj
U+34D4	㓔	3-397B	yhhi
U+34D5	㓕	3-397C	yihf
U+34D6	㓖	4-3C34	ywtq
U+34D7	㓗	3-4579	yqhf
U+34D8	㓘	5-3129	hnmbg
U+34D9	㓙	14-4D64	yku
U+34DA	㓚	4-2161	mln
U+34DB	㓛	6-2241	msh
U+34DC	㓜	3-217E	vish
U+34DD	㓝	4-223C	ttln
U+34DE	㓞	5-2230	qjsh
U+34DF	㓟	4-233E	deln
U+34E0	㓠	4-233F	yrln
U+34E1	㓡	4-254A	ouln
U+34E2	㓢	4-254C	hrln
U+34E3	㓣	4-2548	orln
U+34E4	㓤	4-2547	grln
U+34E5	㓥	14-513C	fsln
U+34E6	㓦	14-513D	maln
U+34E7	㓧	3-2B41	orln
U+34E8	㓨	3-2B45	koln
U+34E9	㓩	3-2B42	nbln
U+34EA	㓪	14-5431	ivsh
U+34EB	㓫	14-5432	ktln
U+34EC	㓬	5-2B7C	fhln
U+34ED	㓭	4-3053	avln
U+34EE	㓮	3-2F67	brln
U+34EF	㓯	3-2F69	vwln
U+34F0	㓰	14-5821	muln
U+34F1	㓱	4-3057	onln
U+34F2	㓲	4-3058	hbln
U+34F3	㓳	4-3052	aoln
U+34F4	㓴	5-312C	mkln
U+34F5	㓵	4-3054	rsln
U+34F6	㓶	4-3059	qkln
U+34F7	㓷	3-3A24	hdln
U+34F8	㓸	6-506C	rmln
U+34F9	㓹	4-3642	mfln
U+34FA	㓺	4-3645	ykln
U+34FB	㓻	3-3A22	wmln
U+34FC	㓼	5-3D70	deln
U+34FD	㓽	3-4042	ufln
U+34FE	㓾	4-4241	sqln
U+34FF	㓿	14-6245	heln
U+3500	㔀	4-4243	afln
U+3501	㔁	4-4242	ntln
U+3502	㔂	4-423C	fqln
U+3503	㔃	3-457D	vush
U+3504	㔄	3-457B	mdln
U+3505	㔅	4-423F	lxln
U+3506	㔆	4-423E	maln
U+3507	㔇	3-457C	neln
U+3508	㔈	14-6246	tyln
U+3509	㔉	14-6526	sbln
U+350A	㔊	4-4923	ymln
U+350B	㔋	4-4F62	stln
U+350C	㔌	4-4F61	soln
U+350D	㔍	4-4F63	htln
U+350E	㔎	5-613B	ujsh
U+350F	㔏	4-556C	mrln
U+3510	㔐	7-3E7D	hmln
U+3511	㔑	4-5F4A	thjh
U+3512	㔒	4-6330	ubln
U+3513	㔓	4-2164	hjks
U+3514	㔔	14-4D68	krr
U+3515	㔕	4-2240	onks
U+3516	㔖	14-4D69	krn
U+3517	㔗	4-2344	lnks
U+3518	㔘	3-2464	uuks
U+3519	㔙	4-254F	ttks
U+351A	㔚	6-296F	hrks
U+351B	㔛	14-5141	grks
U+351C	㔜	6-2F27	bdks
U+351D	㔝	4-2B75	mbks
U+351E	㔞	3-2F6B	hpks
U+351F	㔟	14-5822	hiks
U+3520	㔠	4-305A	avks
U+3521	㔡	4-364B	hpks
U+3522	㔢	3-4622	vuks
U+3523	㔣	4-556F	wwks
U+3524	㔤	3-5443	jwks
U+3525	㔥	4-5570	wpks
U+3526	㔦	5-5363	tvks
U+3527	㔧	4-5A6E	ytks
U+3528	㔨	4-305C	plpb
U+3529	㔩	4-364D	pgit
U+352A	㔪	5-3D78	pywi
U+352B	㔫	14-4C39	kp
U+352C	㔬	6-2972	paj
U+352D	㔭	3-3453	pamo
U+352E	㔮	5-7078	toibp
U+352F	㔯	4-234B	scr
U+3530	㔰	6-2638	sniy
U+3531	㔱	4-2B77	shxo
U+3532	㔲	3-3A25	soin
U+3533	㔳	6-5076	soin
U+3534	㔴	4-3C3E	swtc
U+3535	㔵	5-446C	srvc
U+3536	㔶	4-6D53	syjc
U+3537	㔷	6-2636	smob
U+3538	㔸	4-3650	shyu
U+3539	㔹	3-2158	jks
U+353A	㔺	6-2371	jpj
U+353B	㔻	3-232C	mfj
U+353C	㔼	6-507A	qgj
U+353D	㔽	3-2764	ywr
U+353E	㔾	4-212B	su
U+353F	㔿	6-213B	mul
U+3540	㕀	6-2864	lwsu
U+3541	㕁	4-2556	kisl
U+3542	㕂	3-2330	momn
U+3543	㕃	5-223C	mmt
U+3544	㕄	3-232E	mmvi
U+3545	㕅	3-246A	mwl
U+3546	㕆	3-2469	mjr
U+3547	㕇	3-2468	myt
U+3548	㕈	3-2768	myhv
U+3549	㕉	6-2A2A	momr
U+354A	㕊	3-2B4C	mijb
U+354B	㕋	3-2F70	mc
U+354C	㕌	4-2B7A	mami
U+354D	㕍	3-2F71	mog
U+354E	㕎	4-3651	mgit
U+354F	㕏	6-5122	mmtj
U+3550	㕐	5-4C31	mhxf
U+3551	㕑	3-4624	mgti
U+3552	㕒	4-4927	mtgi
U+3553	㕓	14-6A3E	mwgg
U+3554	㕔	3-6070	msgp
U+3555	㕕	3-215D	ii
U+3556	㕖	3-2F72	iiid
U+3557	㕗	6-3D61	toi
U+3558	㕘	3-3456	iiif
U+3559	㕙	4-4929	ienai
U+355A	㕚	5-2141	eii
U+355B	㕛	3-215F	ee
U+355C	㕜	3-2332	le
U+355D	㕝	14-4F24	jre
U+355E	㕞	4-255A	sbe
U+355F	㕟	4-2857	ybe
U+3560	㕠	3-3F78	yge
U+3561	㕡	3-4627	yre
U+3562	㕢	4-4756	yce
U+3563	㕣	4-216B	cr
U+3564	㕤	3-2230	rkn
U+3565	㕥	3-222C	ro
U+3566	㕦	3-2338	rk
U+3567	㕧	3-2336	rs
U+3568	㕨	14-4D6C	rhni
U+3569	㕩	3-246C	rqj
U+356A	㕪	4-2351	rhbu
U+356B	㕫	3-246B	ryhs
U+356C	㕬	3-2471	rci
U+356D	㕭	4-2354	rhk
U+356E	㕮	4-2359	rck
U+356F	㕯	3-2472	obr
U+3570	㕰	4-2353	rhqu
U+3571	㕱	3-246F	riku
U+3572	㕲	3-246E	rd
U+3573	㕳	3-247A	ruk
U+3574	㕴	14-4F25	rbhn
U+3575	㕵	15-2349	rmg
U+3576	㕶	3-2525	rmdm
U+3577	㕷	3-277A	rha
U+3578	㕸	3-276D	ryt
U+3579	㕹	4-255D	rikk
U+357A	㕺	3-2776	rrmvs
U+357B	㕻	5-2542	yfr
U+357C	㕼	6-2A39	rpvk
U+357D	㕽	14-5146	rvio
U+357E	㕾	14-5147	frp
U+357F	㕿	14-5148	hdr
U+3580	㖀	3-2B52	rlq
U+3581	㖁	3-2B60	rkki
U+3582	㖂	3-2B5F	rlwp
U+3583	㖃	3-2B62	rhmr
U+3584	㖄	3-2B5A	rill
U+3585	㖅	4-2859	rihm
U+3586	㖆	4-285C	rtw
U+3587	㖇	3-2B56	rmbl
U+3588	㖈	15-295C	jpr
U+3589	㖉	14-5436	roym
U+358A	㖊	14-5437	rsmi
U+358B	㖋	14-5438	olrp
U+358C	㖌	14-5439	onrp
U+358D	㖍	14-543A	yjrp
U+358E	㖎	14-543B	rpoll
U+358F	㖏	4-2C25	rag
U+3590	㖐	3-2F7D	rrsk
U+3591	㖑	4-2B7E	rit
U+3592	㖒	3-2F75	rcnh
U+3593	㖓	3-2F7C	rhej
U+3594	㖔	4-2C21	rmkr
U+3595	㖕	4-2B7D	rytj
U+3596	㖖	6-357D	yjr
U+3597	㖗	3-3024	ruon
U+3598	㖘	5-2C43	rmmv
U+3599	㖙	14-5823	krrp
U+359A	㖚	14-5824	oirp
U+359B	㖛	14-5825	jrrp
U+359C	㖜	14-5826	yrrp
U+359D	㖝	14-5827	jdrp
U+359E	㖞	14-5828	rrob
U+359F	㖟	3-345D	rbbe
U+35A0	㖠	3-3465	rkmf
U+35A1	㖡	4-306A	ryok
U+35A2	㖢	5-3670	riyp
U+35A3	㖣	3-3463	rytr
U+35A4	㖤	3-345C	rnue
U+35A5	㖥	4-3070	rwhd
U+35A6	㖦	3-345A	rdw
U+35A7	㖧	4-3073	rhpa
U+35A8	㖨	4-3071	rvne
U+35A9	㖩	4-306D	rsje
U+35AA	㖪	4-306C	rirm
U+35AB	㖫	15-3343	rgce
U+35AC	㖬	14-5B58	rhxe
U+35AD	㖭	14-5B59	rhkp
U+35AE	㖮	14-5B5A	romb
U+35AF	㖯	14-5B5B	brrp
U+35B0	㖰	14-5B5C	rpbmr
U+35B1	㖱	14-5B5D	yokr
U+35B2	㖲	14-5B5E	vrrp
U+35B3	㖳	14-5B5F	evrp
U+35B4	㖴	3-3853	rtph
U+35B5	㖵	4-306F	rbmc
U+35B6	㖶	5-3676	rmwg
U+35B7	㖷	3-3A32	ramo
U+35B8	㖸	4-3667	rypm
U+35B9	㖹	3-3A35	rcht
U+35BA	㖺	3-3A2C	rqka
U+35BB	㖻	4-365E	rnhd
U+35BC	㖼	4-3659	rtmd
U+35BD	㖽	3-3A39	rmbc
U+35BE	㖾	3-3A3E	rrtu
U+35BF	㖿	3-3A2D	rsjl
U+35C0	㗀	4-3660	ruvi
U+35C1	㗁	3-3A3D	rrrs
U+35C2	㗂	4-365F	rfhu
U+35C3	㗃	3-3A37	rrpa
U+35C4	㗄	6-4739	rwls
U+35C5	㗅	5-3679	rjrb
U+35C6	㗆	5-367A	rtlj
U+35C7	㗇	3-3A30	rrse
U+35C8	㗈	4-3658	rnbs
U+35C9	㗉	4-3665	qhher
U+35CA	㗊	4-3663	rrrr
U+35CB	㗋	3-3A41	rnmk
U+35CC	㗌	5-366E	rjmg
U+35CD	㗍	3-3A3F	rhda
U+35CE	㗎	14-5F29	rkrd
U+35CF	㗏	14-5F2A	rmfm
U+35D0	㗐	3-3A3A	rkit
U+35D1	㗑	14-5F2B	rhqj
U+35D2	㗒	14-5F2C	ryrv
U+35D3	㗓	5-3E39	ryhr
U+35D4	㗔	4-3C4A	rypk
U+35D5	㗕	4-3C46	rttb
U+35D6	㗖	3-404F	rbhx
U+35D7	㗗	5-3E3D	rshhj
U+35D8	㗘	4-3C47	ribi
U+35D9	㗙	4-3C4C	rpuu
U+35DA	㗚	3-404D	rmwd
U+35DB	㗛	3-4050	rhhk
U+35DC	㗜	6-5132	ryvw
U+35DD	㗝	14-6248	rtgf
U+35DE	㗞	14-6249	rmre
U+35DF	㗟	14-624A	egrp
U+35E0	㗠	14-624B	vrrp
U+35E1	㗡	14-606D	tosp
U+35E2	㗢	4-4252	rhgs
U+35E3	㗣	3-4632	rkpb
U+35E4	㗤	3-462F	ifr
U+35E5	㗥	3-462D	rydl
U+35E6	㗦	4-424F	rsjl
U+35E7	㗧	4-424A	rjcg
U+35E8	㗨	4-4255	ser
U+35E9	㗩	3-462B	rsya
U+35EA	㗪	3-4B3A	rypf
U+35EB	㗫	4-4253	rbof
U+35EC	㗬	4-4256	fbrnn
U+35ED	㗭	4-4251	rhdp
U+35EE	㗮	14-6528	nrilo
U+35EF	㗯	14-6529	jarp
U+35F0	㗰	5-4522	rhoo
U+35F1	㗱	4-4930	rogd
U+35F2	㗲	4-492C	rlgm
U+35F3	㗳	3-4B42	rhor
U+35F4	㗴	4-492D	ranb
U+35F5	㗵	3-4B36	rffo
U+35F6	㗶	7-214E	rnoe
U+35F7	㗷	14-6730	rjto
U+35F8	㗸	14-6731	rhon
U+35F9	㗹	14-6732	rogp
U+35FA	㗺	14-6733	rmky
U+35FB	㗻	4-4F6B	rybb
U+35FC	㗼	4-4F6C	rtmd
